lucode,LULC_name,C_above,C_below,C_soil,C_dead
0,NoData,0,0,0,0
1,ArtificialSurface,0,0,0,0
3,Forest,165,0,0,0
4,Wetland,97,0,0,0
5,WaterBody,0,0,0,0
21,ArableLand,5,0,0,0
23,Pastureland,4.5,0,0,0
24,HeterogeneousAgriculturalLand,82,0,0,0
33,SparseVegetation,2.5,0,0,0
40,NoData,0,0,0,0
221,PermanentCropland,5,0,0,0
222,PermanentCropland,5,0,0,0
223,PermanentCropland,5,0,0,0
224,PermanentCropland,5,0,0,0
230,Shrubland,52,0,0,0
231,ClosedSavanna,55,0,0,0
232,Banana,5,0,0,0
233,PermanentCropland,5,0,0,0
234,Rubber,82,0,0,0
235,OilPalmPlantation,5,0,0,0
236,Sugarcane,5,0,0,0
238,OpenSavanna,55,0,0,0
239,NoData,0,0,0,0
255,NoData,0,0,0,0
