LULC_desc,lucode,usle_c,usle_p
NoData,0,0.000,0
ArtificialSurface,1,0.100,1
Forest,3,0.001,1
Wetland,4,0.060,1
WaterBody,5,0.000,1
ArableLand,21,0.500,0.5
Pastureland,23,0.080,1
HeterogeneousAgriculturalLand,24,0.250,0.8
SparseVegetation,33,0.010,1
NoData,40,0.000,0
PermanentCropland,221,0.150,1
PermanentCropland,222,0.150,1
PermanentCropland,223,0.150,1
PermanentCropland,224,0.150,1
Shrubland,230,0.080,1
ClosedSavanna,231,0.010,1
Banana,232,0.150,1
PermanentCropland,233,0.150,1
Rubber,234,0.001,1
OilPalmPlantation,235,0.150,1
Sugarcane,236,0.150,1
OpenSavanna,238,0.010,1
NoData,239,0.000,0
NoData,255,0.000,0
